Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng�ENG,DF,Bournemouth,24-118,2000,18,12,"1,166",13,0,1,1,0,0,0,1,0,0,0,0.8,0.9,21,42,25,0,0.08,0.08,0,0.08,0,0.06,0.07,0,0.07,Matches
2,B�nie Adama Traore,ci�CIV,"FW,MF",Sheffield Utd,21-153,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0,0,0,0,0,0.06,0.13,0.19,0.06,0.19,Matches
3,Tyler Adams,us�USA,MF,Bournemouth,25-077,1999,2,1,110,1.2,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,4,1,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
4,Tosin Adarabioyo,eng�ENG,DF,Fulham,26-220,1997,20,18,"1,617",18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,Matches
5,Elijah Adebayo,eng�ENG,FW,Luton Town,26-115,1998,24,13,"1,175",13.1,9,0,9,9,0,0,1,0,5.6,5.6,0.7,6.3,14,19,90,0.69,0,0.69,0.69,0.69,0.43,0.05,0.48,0.43,0.48,Matches
6,Simon Adingra,ci�CIV,FW,Brighton,22-121,2002,27,21,"1,877",20.9,6,1,7,6,0,0,2,0,3.6,3.6,2.5,6.1,91,43,245,0.29,0.05,0.34,0.29,0.34,0.17,0.12,0.29,0.17,0.29,Matches
7,Nayef Aguerd,ma�MAR,DF,West Ham,28-032,1996,21,21,"1,857",20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09,Matches
8,Brandon Aguilera,cr�CRC,FW,Nott'ham Forest,20-308,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
9,Naouirou Ahamada,fr�FRA,"MF,FW",Crystal Palace,22-033,2002,19,0,279,3.1,0,0,0,0,0,0,2,0,0.4,0.4,0,0.4,17,18,18,0,0,0,0,0,0.13,0.01,0.14,0.13,0.14,Matches
10,Anel Ahmedhod�i?,ba�BIH,DF,Sheffield Utd,25-036,1999,29,27,"2,470",27.4,2,0,2,2,0,0,9,0,3.1,3.1,0.8,4,13,36,19,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14,Matches
11,Ola Aina,ng�NGA,DF,Nott'ham Forest,27-206,1996,20,18,"1,512",16.8,1,1,2,1,0,0,3,0,0.2,0.2,0.8,1,44,57,33,0.06,0.06,0.12,0.06,0.12,0.01,0.05,0.06,0.01,0.06,Matches
12,Rayan A�t-Nouri,dz�ALG,"DF,MF",Wolves,22-330,2001,30,26,"2,102",23.4,2,1,3,2,0,0,7,0,3.1,3.1,2,5.1,61,92,87,0.09,0.04,0.13,0.09,0.13,0.13,0.08,0.22,0.13,0.22,Matches
13,Kristoffer Ajer,no�NOR,DF,Brentford,26-014,1998,26,19,"1,726",19.2,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,20,57,31,0.1,0.05,0.16,0.1,0.16,0.07,0.12,0.19,0.07,0.19,Matches
14,Manuel Akanji,ch�SUI,"DF,MF",Manchester City,28-287,1995,26,24,"2,171",24.1,2,0,2,2,0,0,4,1,0.9,0.9,0.4,1.3,41,128,34,0.08,0,0.08,0.08,0.08,0.04,0.02,0.05,0.04,0.05,Matches
15,Nathan Ak�,nl�NED,DF,Manchester City,29-073,1995,26,22,"1,933",21.5,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,23,112,17,0.09,0.09,0.19,0.09,0.19,0.12,0.06,0.17,0.12,0.17,Matches
16,Thiago Alc�ntara,es�ESP,MF,Liverpool,33-020,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Trent Alexander-Arnold,eng�ENG,DF,Liverpool,25-207,1998,25,22,"1,905",21.2,3,4,7,3,0,0,5,0,2.1,1.9,5.9,7.7,39,184,86,0.14,0.19,0.33,0.14,0.33,0.1,0.28,0.38,0.09,0.37,Matches
18,Alisson,br�BRA,GK,Liverpool,31-212,1992,25,25,"2,250",25,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Miguel Almir�n,py�PAR,FW,Newcastle Utd,30-081,1994,29,23,"1,848",20.5,3,1,4,3,0,0,1,0,4.5,4.5,2.6,7.1,77,75,157,0.15,0.05,0.19,0.15,0.19,0.22,0.13,0.34,0.22,0.34,Matches
20,Edson �lvarez,mx�MEX,MF,West Ham,26-190,1997,29,27,"2,312",25.7,1,1,2,1,0,0,10,0,1.3,1.3,0.6,1.9,20,89,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07,Matches
21,Juli�n �lvarez,ar�ARG,"MF,FW",Manchester City,24-091,2000,33,31,"2,628",29.2,9,8,17,8,1,1,2,0,11.8,11.1,6.4,17.5,63,103,176,0.31,0.27,0.58,0.27,0.55,0.4,0.22,0.62,0.38,0.6,Matches
22,Zeki Amdouni,ch�SUI,FW,Burnley,23-149,2000,31,26,"1,870",20.8,5,1,6,4,1,1,2,0,5.3,4.5,1.4,5.9,59,47,88,0.24,0.05,0.29,0.19,0.24,0.26,0.07,0.32,0.22,0.28,Matches
23,Sofyan Amrabat,ma�MAR,"MF,DF",Manchester Utd,27-254,1996,17,7,663,7.4,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,5,52,9,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,Matches
24,Joachim Andersen,dk�DEN,DF,Crystal Palace,27-336,1996,35,35,"3,149",35,2,3,5,2,0,0,6,0,1.7,1.7,2.7,4.3,21,139,10,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.12,0.05,0.12,Matches
25,Elliot Anderson,sct�SCO,"MF,FW",Newcastle Utd,21-177,2002,17,8,831,9.2,0,1,1,0,0,0,1,0,1.4,1.4,1,2.4,30,48,56,0,0.11,0.11,0,0.11,0.15,0.11,0.26,0.15,0.26,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Jaidon Anthony,eng�ENG,FW,Bournemouth,24-152,1999,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
27,Michail Antonio,jm�JAM,FW,West Ham,34-034,1990,23,18,"1,472",16.4,6,2,8,6,0,0,6,0,5.5,5.5,0.9,6.3,45,21,96,0.37,0.12,0.49,0.37,0.49,0.33,0.05,0.39,0.33,0.39,Matches
28,Antony,br�BRA,FW,Manchester Utd,24-067,2000,27,14,"1,244",13.8,1,1,2,1,0,0,5,0,3.3,3.3,2.7,6.1,51,63,142,0.07,0.07,0.14,0.07,0.14,0.24,0.2,0.44,0.24,0.44,Matches
29,Oliver Arblaster,eng�ENG,MF,Sheffield Utd,19-362,2004,9,8,730,8.1,0,0,0,0,0,0,1,0,0,0,0.3,0.3,11,31,3,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04,Matches
30,Cameron Archer,eng�ENG,"FW,MF",Sheffield Utd,22-285,2001,26,18,"1,618",18,4,1,5,4,0,0,1,0,4.4,4.4,2.7,7.1,31,15,98,0.22,0.06,0.28,0.22,0.28,0.25,0.15,0.4,0.25,0.4,Matches
31,Cameron Archer,eng�ENG,MF,Aston Villa,22-285,2001,1,0,6,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Alphonse Areola,fr�FRA,GK,West Ham,31-064,1993,28,28,"2,429",27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Lorenz Assignon,tg�TOG,DF,Burnley,23-314,2000,12,12,"1,009",11.2,1,2,3,1,0,0,4,1,0.3,0.3,2.6,2.9,32,29,43,0.09,0.18,0.27,0.09,0.27,0.03,0.23,0.26,0.03,0.26,Matches
34,Serge Aurier,ci�CIV,"DF,MF",Nott'ham Forest,31-129,1992,12,10,833,9.3,0,2,2,0,0,0,2,0,0.2,0.2,0.5,0.6,10,47,29,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02,0.07,Matches
35,Taiwo Awoniyi,ng�NGA,FW,Nott'ham Forest,26-263,1997,17,12,"1,024",11.4,6,3,9,6,0,0,2,0,4.7,4.7,1.7,6.4,8,14,43,0.53,0.26,0.79,0.53,0.79,0.42,0.15,0.57,0.42,0.57,Matches
36,Jordan Ayew,gh�GHA,"FW,MF",Crystal Palace,32-233,1991,33,30,"2,534",28.2,4,7,11,4,0,0,9,1,3.8,3.8,4.2,8,74,63,173,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.28,0.14,0.28,Matches
37,Beno�t Badiashile,fr�FRA,DF,Chelsea,23-036,2001,13,10,921,10.2,0,1,1,0,0,0,2,0,0.2,0.2,1.5,1.7,1,37,2,0,0.1,0.1,0,0.1,0.02,0.14,0.17,0.02,0.17,Matches
38,Leon Bailey,jm�JAM,"MF,FW",Aston Villa,26-266,1997,33,20,"1,888",21,10,9,19,10,0,0,5,0,6.1,6.1,7.9,14,100,75,220,0.48,0.43,0.91,0.48,0.91,0.29,0.38,0.67,0.29,0.67,Matches
